text,label,source
"I spent two summers gutting fish at my uncle's stall in the harbour market. It smelled awful. My hands cracked and bled for the first three weeks and I thought about quitting almost every morning on the walk down. But my uncle never once asked me if I was okay, and somehow that helped. He just handed me the knife again. By August I could break down a mackerel in under forty seconds, which is not a skill anybody has ever asked me about on an application, but it taught me that I am not as fragile as I assumed at fifteen. I still think about that when something gets hard.",0,seed-human
"Honestly, I did not want to join debate. My best friend signed us both up without asking, and I was furious for about a week. Then came the first tournament in Springfield, where I lost every round, badly, to a kid who spoke twice as fast as I could think. I went home and cried in the car. The next Saturday I went back. I lost again, but only three rounds out of four. That ratio kept improving in a way that felt almost mathematical, and by junior year I was the one making sophomores cry in the hallway. I try to apologise for that now.",0,seed-human
"My grandmother kept every receipt she ever received in a shoebox under the bed. After she died we found forty years of them, faded and curling, and my mother wanted to throw the whole box out. I asked to keep it. It took me most of a winter to sort them, and I made a spreadsheet, which sounds ridiculous. But you can see the year she stopped buying cigarettes. You can see the month my father was born. Data is not neutral and it is not cold. It is just a record of somebody deciding something, over and over, until the deciding becomes a life.",0,seed-human
"Our robotics team lost the regional championship because I miscalculated a gear ratio. Not the team, me. I had checked it twice at eleven at night and both times I made the same arithmetic error, which is the thing nobody tells you about checking your own work. The drive train stalled in the second match and we watched the whole thing from behind the barrier. Nobody yelled at me. That was worse. Now I make somebody else check my numbers, always, even when it is embarrassing to ask, and especially when I am certain I am right.",0,seed-human
"I am the only person in my family who reads poetry, which makes holidays strange. My father is a plumber and a good one, and for years I thought we had nothing to talk about. Then I watched him diagnose a leak by listening to a wall. He put his ear against the plaster, waited, moved eight inches left, waited again, and said it is behind here, about waist height. He was right. That is close reading. He has been doing it his whole life and would laugh if I told him so, so I have not told him.",0,seed-human
"The chemistry olympiad question that broke me was about buffer capacity, and I got it wrong in a way that still bothers me. I understood the equation. I could have written it out. But I did not understand what a buffer was for, which is a different kind of knowing entirely. My teacher, Mrs Okafor, made me explain it to a ninth grader before she would let me look at the answer key. It took me three tries and the ninth grader was visibly bored. That was the point. I teach now, badly, on Saturdays, and it is the only way I ever really learn anything.",0,seed-human
"We moved four times before I turned twelve, so I got good at being new. There is a technique to it: you find the loudest table in the cafeteria and you do not sit there. You find the quiet kid at the edge who is also reading, and you ask what page they are on. It worked in Tucson and in Reno and it failed completely in Dayton, where the quiet kid told me to leave her alone and was entirely correct to do so. I have thought about her more than about any of the friends I made easily.",0,seed-human
"My mother works nights and I have made dinner for my two brothers since I was ten. The first year it was pasta, always pasta, because it was the only thing I could not ruin. Then I burned rice so badly the pot had to be thrown away and my brother Theo laughed until he could not breathe. Something loosened after that. I started experimenting. Nothing I made was good for about eight months. Now I can cook properly and I do not particularly enjoy it, but I know how to keep going through the eight bad months, which is worth more than the cooking.",0,seed-human
"Throughout my academic journey, I have consistently demonstrated a profound commitment to intellectual growth and personal development. Moreover, my experiences have taught me the invaluable importance of perseverance in the face of adversity. Furthermore, I have cultivated a deep appreciation for collaborative problem-solving and interdisciplinary thinking. These formative experiences have shaped my worldview in meaningful ways. Ultimately, I believe that my unique combination of analytical rigour and creative curiosity positions me to make a significant contribution to your academic community.",1,seed-ai
"My passion for scientific inquiry was ignited at an early age when I first encountered the wonders of the natural world. Additionally, participating in numerous research initiatives has allowed me to develop critical thinking skills that will serve me well in my future endeavours. Consequently, I have come to understand that true learning extends far beyond the confines of the classroom. Therefore, I am eager to continue exploring these questions in a rigorous academic environment that values both intellectual curiosity and practical application.",1,seed-ai
"Volunteering at the local community centre has profoundly transformed my understanding of social responsibility and civic engagement. Through this meaningful experience, I have gained valuable insights into the challenges faced by underserved populations. Furthermore, working alongside dedicated professionals has reinforced my commitment to service and leadership. Notably, these interactions have broadened my perspective considerably. In conclusion, I am confident that these experiences have prepared me to contribute meaningfully to a diverse and dynamic campus community.",1,seed-ai
"Leadership, in my view, is fundamentally about empowering others to achieve their fullest potential. During my tenure as captain of the varsity team, I learned that effective leadership requires both empathy and decisiveness. Moreover, navigating interpersonal dynamics taught me the significance of clear communication and mutual respect. Similarly, my role in student government further developed these competencies. Ultimately, I have come to recognise that authentic leadership is a continuous journey of self-reflection and growth rather than a fixed destination.",1,seed-ai
"The intersection of technology and ethics represents one of the most pressing challenges of our contemporary era. As artificial intelligence continues to advance at an unprecedented pace, society must grapple with profound questions regarding privacy, autonomy and accountability. Furthermore, the equitable distribution of technological benefits remains a critical concern. Consequently, I am deeply motivated to pursue interdisciplinary study that bridges computational methods with rigorous ethical frameworks, thereby contributing to a more just technological future.",1,seed-ai
"Overcoming obstacles has been a defining theme throughout my educational experience. When confronted with significant challenges, I have consistently responded with resilience and determination. Moreover, these difficulties have provided invaluable opportunities for personal growth and self-discovery. Additionally, I have developed effective strategies for managing stress and maintaining focus under pressure. Ultimately, I believe that these experiences have equipped me with the fortitude and adaptability necessary to thrive in a demanding academic environment.",1,seed-ai
"My fascination with literature stems from a deep appreciation for the transformative power of storytelling. Reading widely across diverse genres and cultural traditions has significantly broadened my understanding of the human condition. Furthermore, engaging critically with complex texts has honed my analytical and interpretive capabilities. Similarly, my own writing practice has taught me the discipline required to communicate ideas with clarity and precision. Therefore, I am eager to pursue advanced study in a programme that fosters both scholarly rigour and creative expression.",1,seed-ai
"Environmental sustainability has emerged as a central concern in my academic and personal life. Through participation in various conservation initiatives, I have developed a nuanced understanding of the complex interplay between ecological systems and human activity. Moreover, collaborating with diverse stakeholders has taught me the importance of building consensus around shared goals. Consequently, I am committed to pursuing a course of study that will enable me to address these urgent challenges through evidence-based policy and innovation.",1,seed-ai
